year;areakm;municipality;geocode_ibge;state;FullLocation
2008;1.2424613960392064;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2009;2.9896739671142676;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2010;3.8289829884054596;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2011;0.8320869368751692;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2012;2.2409178045443676;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2013;0.42117111149517017;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2014;0.2439393881625319;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2015;0.5861482650246084;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2016;0.3856690067861612;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2017;1.1789234140866527;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2018;0.6396519103752514;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2019;0.34012307717826396;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2020;1.2244934107992753;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2021;1.6968263946206572;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2022;0.40692128886863566;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2023;0.31446348211739467;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2024;0.5648192609955512;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2008;2.0430416513672123;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2009;1.0405524217900506;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2010;1.7377752785551128;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2011;0.4365702380566971;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2012;0.0;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2013;0.35608089503521584;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2014;0.4211885291934384;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2015;0.1644385884062416;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2016;0.5040841573761293;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2017;0.2402553422768378;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2018;0.9512147374066928;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2019;4.153506027498901;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2020;1.213128051320839;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2021;2.0720799527669476;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2022;2.7259403528643067;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2023;1.53300483646723;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2024;0.17491141879251024;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2008;47.75979073352992;Acará;1500206;Pará;Acará, Pará, Brazil
2009;11.895465461223644;Acará;1500206;Pará;Acará, Pará, Brazil
2010;30.159612138842373;Acará;1500206;Pará;Acará, Pará, Brazil
2011;15.00688320817623;Acará;1500206;Pará;Acará, Pará, Brazil
2012;4.814033032697277;Acará;1500206;Pará;Acará, Pará, Brazil
2013;18.270716486079618;Acará;1500206;Pará;Acará, Pará, Brazil
2014;5.834379091348468;Acará;1500206;Pará;Acará, Pará, Brazil
2015;7.007347264517175;Acará;1500206;Pará;Acará, Pará, Brazil
2016;7.2124247535574435;Acará;1500206;Pará;Acará, Pará, Brazil
2017;18.538495417554365;Acará;1500206;Pará;Acará, Pará, Brazil
2018;16.741240950348107;Acará;1500206;Pará;Acará, Pará, Brazil
2019;18.166062982018424;Acará;1500206;Pará;Acará, Pará, Brazil
2020;15.66707660532316;Acará;1500206;Pará;Acará, Pará, Brazil
2021;10.313944804953639;Acará;1500206;Pará;Acará, Pará, Brazil
2022;5.708188704906543;Acará;1500206;Pará;Acará, Pará, Brazil
2023;8.364741384960636;Acará;1500206;Pará;Acará, Pará, Brazil
2024;12.631878651278807;Acará;1500206;Pará;Acará, Pará, Brazil
2008;0.13358219399535531;Afuá;1500305;Pará;Afuá, Pará, Brazil
2009;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2010;1.7319582073245856;Afuá;1500305;Pará;Afuá, Pará, Brazil
2011;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2012;0.15051121598603556;Afuá;1500305;Pará;Afuá, Pará, Brazil
2013;0.07392782951993802;Afuá;1500305;Pará;Afuá, Pará, Brazil
2014;0.17189921494880817;Afuá;1500305;Pará;Afuá, Pará, Brazil
2015;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2016;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2017;0.12054717208911213;Afuá;1500305;Pará;Afuá, Pará, Brazil
2018;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2019;0.10780247932492669;Afuá;1500305;Pará;Afuá, Pará, Brazil
2020;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2021;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2022;0.16465130476523432;Afuá;1500305;Pará;Afuá, Pará, Brazil
2023;0.2720332688113031;Afuá;1500305;Pará;Afuá, Pará, Brazil
2024;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2008;39.557240452888806;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2009;18.50562281987502;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2010;27.531522311243407;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2011;21.86844533365137;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2012;14.859315120477248;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2013;17.811671755966405;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2014;16.442435610656066;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2015;15.128995050669173;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2016;16.199661403271964;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2017;27.468203761223485;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2018;22.030701155927137;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2019;19.838942749745648;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2020;32.85926484235845;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2021;31.91596844590526;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2022;29.035255061866064;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2023;22.290819892761697;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2024;34.894175607133285;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2008;59.026652078557454;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2009;23.34307615993181;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2010;38.54389291374376;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2011;6.486189809948875;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2012;19.48644721676855;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2013;9.176219814073837;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2014;23.47965219949605;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2015;12.138711951041724;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2016;14.965068575314394;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2017;20.799116040915415;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2018;18.592933222383174;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2019;29.67244562072369;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2020;24.70141536916831;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2021;31.54043403667862;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2022;18.384417573209582;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2023;22.806592030402932;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2024;29.931589678863258;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2008;339.6219893591748;Altamira;1500602;Pará;Altamira, Pará, Brazil
2009;388.93491380446903;Altamira;1500602;Pará;Altamira, Pará, Brazil
2010;193.85133813676038;Altamira;1500602;Pará;Altamira, Pará, Brazil
2011;249.89502871317762;Altamira;1500602;Pará;Altamira, Pará, Brazil
2012;228.95971312344585;Altamira;1500602;Pará;Altamira, Pará, Brazil
2013;296.53594671169327;Altamira;1500602;Pará;Altamira, Pará, Brazil
2014;294.22794684756883;Altamira;1500602;Pará;Altamira, Pará, Brazil
2015;308.1992204157817;Altamira;1500602;Pará;Altamira, Pará, Brazil
2016;408.6537982400085;Altamira;1500602;Pará;Altamira, Pará, Brazil
2017;224.21683681958973;Altamira;1500602;Pará;Altamira, Pará, Brazil
2018;429.95288544050953;Altamira;1500602;Pará;Altamira, Pará, Brazil
2019;575.075842070961;Altamira;1500602;Pará;Altamira, Pará, Brazil
2020;797.6865334027787;Altamira;1500602;Pará;Altamira, Pará, Brazil
2021;765.5287860339106;Altamira;1500602;Pará;Altamira, Pará, Brazil
2022;626.0215439675537;Altamira;1500602;Pará;Altamira, Pará, Brazil
2023;317.6962792321475;Altamira;1500602;Pará;Altamira, Pará, Brazil
2024;166.63037932670895;Altamira;1500602;Pará;Altamira, Pará, Brazil
2008;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2009;1.0282892853447219;Anajás;1500701;Pará;Anajás, Pará, Brazil
2010;11.978023453442315;Anajás;1500701;Pará;Anajás, Pará, Brazil
2011;0.3067108001629317;Anajás;1500701;Pará;Anajás, Pará, Brazil
2012;0.09258131663796688;Anajás;1500701;Pará;Anajás, Pará, Brazil
2013;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2014;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2015;0.1056042041201989;Anajás;1500701;Pará;Anajás, Pará, Brazil
2016;0.3790389884144489;Anajás;1500701;Pará;Anajás, Pará, Brazil
2017;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2018;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2019;0.39414955682367986;Anajás;1500701;Pará;Anajás, Pará, Brazil
2020;0.8951300692990054;Anajás;1500701;Pará;Anajás, Pará, Brazil
2021;0.9718692758230686;Anajás;1500701;Pará;Anajás, Pará, Brazil
2022;0.13315658524740914;Anajás;1500701;Pará;Anajás, Pará, Brazil
2023;0.1965568987568205;Anajás;1500701;Pará;Anajás, Pará, Brazil
2024;0.07587787529945839;Anajás;1500701;Pará;Anajás, Pará, Brazil
2008;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2009;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2010;0.07111884978717113;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2011;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2012;0.08301019067353534;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2013;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2014;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2015;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2016;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2017;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2018;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2019;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2020;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2021;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2022;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2023;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2024;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2008;74.62669637906592;Anapu;1500859;Pará;Anapu, Pará, Brazil
2009;26.76604166116152;Anapu;1500859;Pará;Anapu, Pará, Brazil
2010;77.50600804557838;Anapu;1500859;Pará;Anapu, Pará, Brazil
2011;223.26593787860864;Anapu;1500859;Pará;Anapu, Pará, Brazil
2012;15.828314449444454;Anapu;1500859;Pará;Anapu, Pará, Brazil
2013;19.161279711186626;Anapu;1500859;Pará;Anapu, Pará, Brazil
2014;32.10045130364817;Anapu;1500859;Pará;Anapu, Pará, Brazil
2015;95.11183780196775;Anapu;1500859;Pará;Anapu, Pará, Brazil
2016;85.49029881944048;Anapu;1500859;Pará;Anapu, Pará, Brazil
2017;98.43099279751124;Anapu;1500859;Pará;Anapu, Pará, Brazil
2018;56.35094426890621;Anapu;1500859;Pará;Anapu, Pará, Brazil
2019;217.31258541849567;Anapu;1500859;Pará;Anapu, Pará, Brazil
2020;111.94868902581243;Anapu;1500859;Pará;Anapu, Pará, Brazil
2021;133.74369541000132;Anapu;1500859;Pará;Anapu, Pará, Brazil
2022;108.23945055799145;Anapu;1500859;Pará;Anapu, Pará, Brazil
2023;95.72291367705787;Anapu;1500859;Pará;Anapu, Pará, Brazil
2024;56.84979123420708;Anapu;1500859;Pará;Anapu, Pará, Brazil
2008;0.3134231725368131;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2009;0.39035377885770944;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2010;0.1360282652659684;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2011;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2012;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2013;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2014;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2015;0.18636893846257427;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2016;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2017;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2018;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2019;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2020;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2021;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2022;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2023;0.30605833702345786;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2024;0.0;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2008;17.16195844664609;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2009;10.674049678456814;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2010;10.80711915581371;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2011;6.787667818157384;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2012;0.8782208379182289;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2013;4.702666084381167;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2014;0.8579831547625071;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2015;0.9248083252491901;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2016;1.5096772607308937;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2017;4.618091519472411;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2018;3.65902771410564;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2019;1.2920651179927138;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2020;3.106777818352438;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2021;2.5933984659742526;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2022;2.116373694241257;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2023;2.871654912123385;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2024;4.8701459318637745;Aurora do Pará;1500958;Pará;Aurora do Pará, Pará, Brazil
2008;32.95077420859727;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2009;29.196509231081496;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2010;17.928461633753603;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2011;34.50322506717344;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2012;15.89933029421095;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2013;14.065318484194853;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2014;29.789683267619413;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2015;16.03755506479168;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2016;13.393869022263436;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2017;30.64642732047848;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2018;20.953917162000604;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2019;44.975887475388426;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2020;35.014136994790235;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2021;55.57730690071816;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2022;53.07970235749129;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2023;29.357108078687958;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2024;51.497681673172806;Aveiro;1501006;Pará;Aveiro, Pará, Brazil
2008;3.7299625992669165;Bagre;1501105;Pará;Bagre, Pará, Brazil
2009;1.8954041904523846;Bagre;1501105;Pará;Bagre, Pará, Brazil
2010;17.41546002354218;Bagre;1501105;Pará;Bagre, Pará, Brazil
2011;2.3288812893775748;Bagre;1501105;Pará;Bagre, Pará, Brazil
2012;0.929338138022671;Bagre;1501105;Pará;Bagre, Pará, Brazil
2013;0.530385429987338;Bagre;1501105;Pará;Bagre, Pará, Brazil
2014;0.2483252241263511;Bagre;1501105;Pará;Bagre, Pará, Brazil
2015;0.7387224314045557;Bagre;1501105;Pará;Bagre, Pará, Brazil
2016;1.7546107989889184;Bagre;1501105;Pará;Bagre, Pará, Brazil
2017;1.4162216740498017;Bagre;1501105;Pará;Bagre, Pará, Brazil
2018;0.8335443723266429;Bagre;1501105;Pará;Bagre, Pará, Brazil
2019;2.3076127750144755;Bagre;1501105;Pará;Bagre, Pará, Brazil
2020;3.262905085974025;Bagre;1501105;Pará;Bagre, Pará, Brazil
2021;6.139765411567087;Bagre;1501105;Pará;Bagre, Pará, Brazil
2022;3.423215062520164;Bagre;1501105;Pará;Bagre, Pará, Brazil
2023;2.5254595424642443;Bagre;1501105;Pará;Bagre, Pará, Brazil
2024;9.166950247959756;Bagre;1501105;Pará;Bagre, Pará, Brazil
2008;18.189126123065314;Baião;1501204;Pará;Baião, Pará, Brazil
2009;13.37321349896312;Baião;1501204;Pará;Baião, Pará, Brazil
2010;22.770897576866844;Baião;1501204;Pará;Baião, Pará, Brazil
2011;7.4496366218367625;Baião;1501204;Pará;Baião, Pará, Brazil
2012;7.943589465162184;Baião;1501204;Pará;Baião, Pará, Brazil
2013;6.248279375796436;Baião;1501204;Pará;Baião, Pará, Brazil
2014;3.7988688367965215;Baião;1501204;Pará;Baião, Pará, Brazil
2015;4.447080623743764;Baião;1501204;Pará;Baião, Pará, Brazil
2016;5.637623806271399;Baião;1501204;Pará;Baião, Pará, Brazil
2017;5.195260557905026;Baião;1501204;Pará;Baião, Pará, Brazil
2018;9.904301788298763;Baião;1501204;Pará;Baião, Pará, Brazil
2019;7.213567536953947;Baião;1501204;Pará;Baião, Pará, Brazil
2020;6.4378955300408505;Baião;1501204;Pará;Baião, Pará, Brazil
2021;14.626811051015334;Baião;1501204;Pará;Baião, Pará, Brazil
2022;8.88871127613803;Baião;1501204;Pará;Baião, Pará, Brazil
2023;8.636148042028255;Baião;1501204;Pará;Baião, Pará, Brazil
2024;8.2457877125727;Baião;1501204;Pará;Baião, Pará, Brazil
2008;48.19768959622592;Bannach;1501253;Pará;Bannach, Pará, Brazil
2009;15.75021012226215;Bannach;1501253;Pará;Bannach, Pará, Brazil
2010;5.626748512739445;Bannach;1501253;Pará;Bannach, Pará, Brazil
2011;5.637564126525146;Bannach;1501253;Pará;Bannach, Pará, Brazil
2012;6.856376585199117;Bannach;1501253;Pará;Bannach, Pará, Brazil
2013;4.588609429659391;Bannach;1501253;Pará;Bannach, Pará, Brazil
2014;2.7220149203797135;Bannach;1501253;Pará;Bannach, Pará, Brazil
2015;22.55840616562278;Bannach;1501253;Pará;Bannach, Pará, Brazil
2016;10.899227525839992;Bannach;1501253;Pará;Bannach, Pará, Brazil
2017;5.474697898378843;Bannach;1501253;Pará;Bannach, Pará, Brazil
2018;1.5762031334045434;Bannach;1501253;Pará;Bannach, Pará, Brazil
2019;2.33903746550727;Bannach;1501253;Pará;Bannach, Pará, Brazil
2020;2.2073268699814954;Bannach;1501253;Pará;Bannach, Pará, Brazil
2021;4.973123688684324;Bannach;1501253;Pará;Bannach, Pará, Brazil
2022;4.0131369990587045;Bannach;1501253;Pará;Bannach, Pará, Brazil
2023;2.5774232949011187;Bannach;1501253;Pará;Bannach, Pará, Brazil
2024;0.44881730333637626;Bannach;1501253;Pará;Bannach, Pará, Brazil
2008;1.0529854917433707;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2009;2.6698720642854235;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2010;1.900212770289138;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2011;1.014289579377479;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2012;2.380321866599103;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2013;0.8208145326228476;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2014;0.9981172353531993;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2015;0.33858681018459674;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2016;0.6957550475316067;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2017;2.771739881577088;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2018;0.8198216197288102;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2019;0.06513317027896674;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2020;2.595801271652761;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2021;1.9707142055497129;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2022;0.5589819380731667;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2023;0.26226206975642835;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2024;0.9248952619247225;Barcarena;1501303;Pará;Barcarena, Pará, Brazil
2008;4.9141667983663915;Belterra;1501451;Pará;Belterra, Pará, Brazil
2009;6.591619054978241;Belterra;1501451;Pará;Belterra, Pará, Brazil
2010;4.254887657677253;Belterra;1501451;Pará;Belterra, Pará, Brazil
2011;1.5738173555122599;Belterra;1501451;Pará;Belterra, Pará, Brazil
2012;2.287433894828356;Belterra;1501451;Pará;Belterra, Pará, Brazil
2013;0.6813660034618608;Belterra;1501451;Pará;Belterra, Pará, Brazil
2014;1.2433346800757477;Belterra;1501451;Pará;Belterra, Pará, Brazil
2015;11.024986500285868;Belterra;1501451;Pará;Belterra, Pará, Brazil
2016;4.516900902660239;Belterra;1501451;Pará;Belterra, Pará, Brazil
2017;1.9695218605179314;Belterra;1501451;Pará;Belterra, Pará, Brazil
2018;2.609915616893163;Belterra;1501451;Pará;Belterra, Pará, Brazil
2019;5.119922255347949;Belterra;1501451;Pará;Belterra, Pará, Brazil
2020;4.472799634742418;Belterra;1501451;Pará;Belterra, Pará, Brazil
2021;16.357264222548498;Belterra;1501451;Pará;Belterra, Pará, Brazil
2022;12.781629897724226;Belterra;1501451;Pará;Belterra, Pará, Brazil
2023;7.535339266809309;Belterra;1501451;Pará;Belterra, Pará, Brazil
2024;5.7899228644926035;Belterra;1501451;Pará;Belterra, Pará, Brazil
2008;0.9463791479236942;Belém;1501402;Pará;Belém, Pará, Brazil
2009;0.08367660603270446;Belém;1501402;Pará;Belém, Pará, Brazil
2010;0.9111970347183526;Belém;1501402;Pará;Belém, Pará, Brazil
2011;0.2528677402182715;Belém;1501402;Pará;Belém, Pará, Brazil
2012;0.23121547561767258;Belém;1501402;Pará;Belém, Pará, Brazil
2013;0.0;Belém;1501402;Pará;Belém, Pará, Brazil
2014;0.0;Belém;1501402;Pará;Belém, Pará, Brazil
2015;0.2652994158908736;Belém;1501402;Pará;Belém, Pará, Brazil
2016;0.27910123160318856;Belém;1501402;Pará;Belém, Pará, Brazil
2017;0.27459974048543845;Belém;1501402;Pará;Belém, Pará, Brazil
2018;0.9250682041417083;Belém;1501402;Pará;Belém, Pará, Brazil
2019;1.2596062241888322;Belém;1501402;Pará;Belém, Pará, Brazil
2020;0.22694935687341525;Belém;1501402;Pará;Belém, Pará, Brazil
2021;0.4766750165400838;Belém;1501402;Pará;Belém, Pará, Brazil
2022;0.07096622385153689;Belém;1501402;Pará;Belém, Pará, Brazil
2023;0.0;Belém;1501402;Pará;Belém, Pará, Brazil
2024;0.0823996451594048;Belém;1501402;Pará;Belém, Pará, Brazil
2008;0.05958573172400516;Benevides;1501501;Pará;Benevides, Pará, Brazil
2009;0.0;Benevides;1501501;Pará;Benevides, Pará, Brazil
2010;0.05067235650934966;Benevides;1501501;Pará;Benevides, Pará, Brazil
2011;0.0;Benevides;1501501;Pará;Benevides, Pará, Brazil
2012;0.0;Benevides;1501501;Pará;Benevides, Pará, Brazil
2013;0.15939060438776836;Benevides;1501501;Pará;Benevides, Pará, Brazil
2014;0.0;Benevides;1501501;Pará;Benevides, Pará, Brazil
2015;0.11213785010949132;Benevides;1501501;Pará;Benevides, Pará, Brazil
2016;0.0;Benevides;1501501;Pará;Benevides, Pará, Brazil
2017;0.20573010569629266;Benevides;1501501;Pará;Benevides, Pará, Brazil
2018;0.24792263704334605;Benevides;1501501;Pará;Benevides, Pará, Brazil
2019;0.06491814837161719;Benevides;1501501;Pará;Benevides, Pará, Brazil
2020;0.3126067787899284;Benevides;1501501;Pará;Benevides, Pará, Brazil
2021;0.13876512925020973;Benevides;1501501;Pará;Benevides, Pará, Brazil
2022;0.3526069997552247;Benevides;1501501;Pará;Benevides, Pará, Brazil
2023;0.0;Benevides;1501501;Pará;Benevides, Pará, Brazil
2024;0.06935059809930139;Benevides;1501501;Pará;Benevides, Pará, Brazil
2008;10.47473730714948;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
2009;5.445274024328468;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
2010;7.433909068639227;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
2011;2.2851963146405754;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
2012;1.7912188512196603;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
2013;6.021401244319132;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
2014;5.643421885901724;Bom Jesus do Tocantins;1501576;Pará;Bom Jesus do Tocantins, Pará, Brazil
