year;areakm
2008;5635.626535897737
2009;3556.1775845246557
2010;3317.490376539136
2011;2510.117616389357
2012;1698.437334518928
2013;2100.5325879943844
2014;1796.7748545538152
2015;2304.542711694889
2016;2760.2681986663965
2017;2572.0417318349273
2018;2608.376349023187
2019;4463.321683392497
2020;4618.114312041666
2021;5086.180998878409
2022;4530.624525251258
2023;2884.8089811582868
2024;2216.5347707990586
