Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
150340 INHANGAPI,-,386,581,587,492,496,521,380,249,46,78,-,15,41,-,4,27,9,3912
150345 IPIXUNA DO PARA,2144,2529,2984,2704,2974,3378,3203,2778,3320,2792,2582,2846,2363,3848,4741,5542,5614,1299,57641
150350 IRITUIA,1147,1246,1266,1292,1360,1380,1608,1381,1381,1361,1142,365,362,561,742,703,588,95,17980
150360 ITAITUBA,9254,9177,8265,8108,7356,7360,7558,6814,6108,5685,5029,4948,4441,6996,9398,9834,9056,2267,127654
150370 ITUPIRANGA,1648,1514,1808,1553,1634,1552,1395,1404,1283,1680,1653,1572,1262,1410,1539,1464,1646,196,26213
150375 JACAREACANGA,500,585,494,166,24,845,1402,1727,1263,769,1003,715,522,126,1315,1330,1228,437,14451
150380 JACUNDA,5414,5512,5501,5095,4928,4973,5676,3540,2148,1981,2102,2164,1773,1886,2228,2858,3771,1187,62737
150390 JURUTI,2292,2351,2150,1871,2254,2184,1882,1654,1850,1661,1774,1936,1785,2419,2399,2353,2260,102,35177
150400 LIMOEIRO DO AJURU,1612,2014,2115,1865,1657,1817,1747,1758,1653,1462,1433,1209,1121,1049,1281,1325,1280,358,26756
150405 MAE DO RIO,2745,2773,3304,3487,3149,2575,2491,2595,2610,2219,2357,1895,1504,2706,2737,1694,1543,431,42815
150420 MARABA,15116,14794,12729,13329,10575,11706,10857,11995,11744,14285,17506,15155,14040,15766,18427,17780,17925,5675,249404
150430 MARACANA,1247,1522,1471,1156,767,1011,955,665,766,708,440,312,395,511,441,486,463,91,13407
150440 MARAPANIM,604,691,776,918,343,31,241,57,9,62,176,168,324,176,333,427,440,98,5874
150442 MARITUBA,6615,6569,6264,6786,7784,7749,6736,6045,4653,6330,6268,6615,4826,6921,7762,6967,7085,2303,114278
150445 MEDICILANDIA,1321,1533,1654,1614,1944,1656,1459,1114,1079,1497,1370,1289,787,1663,1852,1593,1548,456,25429
150450 MELGACO,-,-,350,448,85,490,907,976,1007,1002,895,969,694,994,848,919,838,9,11431
150460 MOCAJUBA,1195,1686,1622,1800,1602,1673,1692,1664,1654,1659,1800,1809,1570,1718,1806,1797,1830,535,29112
150470 MOJU,3716,3123,3503,2888,3115,3179,2941,3331,3143,2320,2245,2519,1815,2165,1714,1613,2210,629,46169
150480 MONTE ALEGRE,5115,4869,4162,4840,4395,3678,3227,3722,3374,3112,3091,3054,2882,2711,2669,2886,3313,1220,62320
150490 MUANA,1613,1400,1486,1455,1690,1711,1507,1599,2758,2670,2494,2085,1657,2008,1980,2292,2171,314,32890
150495 NOVA ESPERANCA DO PIRIA,1233,1982,1976,875,185,1344,1085,190,1281,1059,676,408,1024,462,581,625,397,123,15506
150497 NOVA IPIXUNA,-,-,-,-,-,-,-,-,-,40,30,191,81,228,200,228,314,-,1312
150503 NOVO PROGRESSO,1661,1869,1936,2671,2458,2391,2659,2517,2598,2375,2291,2125,1761,1920,1728,2148,2369,732,38209
150506 NOVO REPARTIMENTO,2508,1859,2682,2256,1690,2038,2059,1935,2010,2094,2023,2031,1210,1716,1524,1543,1491,201,32870
150510 OBIDOS,3856,3843,4029,3841,3544,3173,2943,2886,2977,3097,3184,3011,2355,2338,2279,2414,2169,398,52337
150520 OEIRAS DO PARA,747,22,174,859,754,776,1033,1398,1147,1213,1406,1418,1049,1241,1475,1220,1182,379,17493
150530 ORIXIMINA,2899,3684,3619,2801,3525,3553,3820,4130,4080,4604,4891,4513,3485,4543,4463,4584,4390,1381,68965
150540 OUREM,1284,977,941,1094,699,744,725,857,1200,1251,1265,1186,676,928,912,846,876,232,16693
150543 OURILANDIA DO NORTE,1622,2730,2380,2265,2625,2716,2442,2559,2526,3473,3909,3790,2963,3928,4139,3944,6803,1803,56617
150548 PACAJA,534,1170,896,1620,1374,1965,1557,1474,1308,1495,2050,2011,1414,2322,2337,2614,2685,879,29705
150549 PALESTINA DO PARA,618,727,665,574,257,180,453,277,87,367,390,473,333,794,380,255,335,-,7165
150550 PARAGOMINAS,6105,5502,4969,5248,4902,4944,4389,6037,7658,7880,7862,6987,6231,7443,4640,6401,7610,2392,107200
150553 PARAUAPEBAS,8346,7319,6067,6439,6162,6478,7042,6597,7097,8728,9259,8821,7560,9376,9768,9179,11161,4001,139400
150555 PAU D'ARCO,718,521,684,801,506,541,802,522,493,428,307,315,324,287,597,646,633,302,9427
150563 PICARRA,674,575,974,835,469,795,675,776,676,695,684,746,498,729,735,731,741,232,12240
150565 PLACAS,210,769,823,1222,895,1208,952,1363,1459,1594,1557,1549,1122,1392,1413,1437,1607,240,20812
150570 PONTA DE PEDRAS,83,310,421,132,325,836,1129,1154,1128,1117,1152,1157,504,988,1093,1136,974,381,14020
150580 PORTEL,1413,1897,2005,1972,2016,1949,1612,1835,1937,2066,1966,1881,1593,2016,2383,2579,2629,699,34448
150590 PORTO DE MOZ,2316,3172,2398,2094,1910,1964,1731,1853,1489,2621,2458,2435,1986,1977,2073,2365,2116,623,37581
150600 PRAINHA,624,654,1241,1180,1244,1110,788,1223,981,1019,999,997,963,1027,987,1242,1221,440,17940
150613 REDENCAO,8261,9540,9284,8927,8496,9231,8234,7952,8141,8458,9098,9474,7780,9472,9717,9861,11002,3690,156618
150616 RIO MARIA,1803,1624,1885,1915,1696,1798,1230,1229,1066,1064,1192,1118,1310,1670,1418,1219,2737,1238,27212
150618 RONDON DO PARA,7154,6967,7219,6992,5887,6940,7394,7595,5747,3836,4099,4161,3003,3266,3853,2299,2247,766,89425
150619 RUROPOLIS,1287,1042,1567,1657,1816,1777,1732,1623,1526,1405,1403,1580,1184,1253,1290,1607,2043,-,25792
150620 SALINOPOLIS,5912,6888,5859,4112,3337,2816,2387,1677,2345,2694,2882,2961,2185,2194,1780,2573,2792,972,56366
150630 SALVATERRA,944,841,1030,1067,969,1188,1005,1000,1019,955,986,907,808,834,939,878,832,95,16297
150640 SANTA CRUZ DO ARARI,-,-,66,232,250,296,363,440,446,460,450,458,403,440,433,485,492,214,5928
150650 SANTA IZABEL DO PARA,5007,5098,5453,5769,5244,5506,5495,3895,-,485,547,692,1008,1028,1157,1115,3156,719,51374
150658 SANTA MARIA DAS BARREIRAS,739,766,713,766,760,711,743,705,618,461,570,667,584,706,1091,950,1005,165,12720
150660 SANTA MARIA DO PARA,2170,2199,2534,2400,2214,1352,1309,349,1925,1692,1862,1765,872,765,787,854,1010,257,26316
150670 SANTANA DO ARAGUAIA,3595,3152,2965,2128,2491,3148,3465,2730,2969,2415,2320,2408,1922,3478,3354,4248,3465,976,51229
150680 SANTAREM,16386,19056,18691,19184,19545,23010,22493,23456,24041,21266,21185,23495,18173,20821,17196,19404,18495,7668,353565
150700 SANTO ANTONIO DO TAUA,3421,3225,3124,3185,3346,3753,3512,3437,3546,3552,4964,5438,2975,2848,4739,5558,5124,1674,67421
150715 SAO DOMINGOS DO ARAGUAIA,1780,1582,1884,2030,920,916,784,701,644,588,795,549,281,362,388,482,442,127,15255
150720 SAO DOMINGOS DO CAPIM,973,978,954,669,617,1764,935,992,990,1097,1180,1331,795,971,1042,858,918,196,17260
150730 SAO FELIX DO XINGU,2782,4512,3881,3749,4766,3422,3010,3218,3756,4306,5187,5424,4704,3769,3115,3592,3314,1402,67909
150745 SAO GERALDO DO ARAGUAIA,1683,2487,2549,2840,2698,2661,2519,2281,1921,2359,2000,1400,468,1234,1893,1621,1616,355,34585
150747 SAO JOAO DE PIRABAS,1743,2031,2154,1048,1046,788,632,549,716,417,400,226,564,511,579,715,828,238,15185
150750 SAO JOAO DO ARAGUAIA,525,612,749,600,402,604,345,233,366,300,405,220,112,204,381,239,129,56,6482
150760 SAO MIGUEL DO GUAMA,1319,3140,2420,2316,1814,1551,1169,1485,1081,1511,1534,1109,527,2065,2191,1991,2444,696,30363
150770 SAO SEBASTIAO DA BOA VISTA,836,862,1192,1175,871,1199,1038,1077,1110,1072,1321,1285,861,806,1189,1312,1570,121,18897
150775 SAPUCAIA,154,421,565,508,444,746,667,742,824,359,317,303,257,354,381,266,337,68,7713
150780 SENADOR JOSE PORFIRIO,-,-,160,970,667,694,589,549,567,865,615,638,797,688,813,947,681,280,10520
150790 SOURE,1494,842,1647,1793,2074,1365,1518,1094,1087,1858,1861,1771,1540,1705,1697,1387,1294,363,26390
150795 TAILANDIA,2827,2702,2724,2529,2641,2437,3387,3337,3140,2886,4070,3557,3445,3873,4358,4700,4417,1410,58440
150797 TERRA SANTA,834,789,1058,779,1492,1373,1086,723,878,1085,1107,1043,725,1094,834,1010,1196,220,17326
150800 TOME-ACU,3604,2942,3619,2752,3426,3119,2793,2693,2544,2641,2607,2970,2687,3031,2960,3751,3268,1010,52417
150803 TRACUATEUA,-,-,754,1041,651,1159,1139,1320,1372,1074,916,1079,444,1069,1109,1221,1119,430,15897
150805 TRAIRAO,373,762,783,1131,1266,1118,1006,952,848,1494,1112,1461,1105,1158,1268,1389,1376,326,18928
150808 TUCUMA,2608,2974,2780,2876,2685,2772,2984,2841,4172,4427,4849,4691,3572,4059,4168,5206,3404,442,61510
150810 TUCURUI,6832,7856,7292,7171,5637,4075,6298,5937,5179,5200,5756,5849,3511,3905,5370,7195,8345,2640,104048
150812 ULIANOPOLIS,3179,3404,3648,3989,3555,4860,4040,3198,3224,3220,3053,2568,1741,2504,3291,3236,2296,1268,56274
150815 URUARA,3638,3807,3935,4566,3464,3688,2918,2518,2082,3761,3859,3422,2478,3285,3350,3770,3187,1309,59037
150820 VIGIA,2045,2186,2296,2400,2433,2456,2462,2412,2211,1484,2026,1943,1202,1231,1867,1603,1481,370,34108
150830 VISEU,2103,2639,2790,3002,3146,2779,2697,2717,2939,2717,2920,3207,2055,2241,2299,2275,2278,502,45306
150835 VITORIA DO XINGU,-,-,297,439,22,106,236,384,978,933,986,1337,1212,1487,1549,1495,1904,546,13911
150840 XINGUARA,3908,3909,4623,3056,2137,3034,3625,3486,2763,2763,2888,2954,2361,2623,2937,3572,3126,1021,54786
Total,509338,526745,528520,511097,487950,498765,490632,471753,463631,480382,493920,484950,396534,473399,501556,526871,551049,170463,8567555
